objectid,ccg18cd,ccg18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
144,E38000174,NHS Stockport CCG,391805,388262,-2.12468004,53.39113998,126088978.305495,61467.3458322983
145,E38000175,NHS Stoke on Trent CCG,391803,343660,-2.12354994,52.99021912,141485618.596489,73538.3340049783
146,E38000176,NHS Sunderland CCG,436470,551525,-1.43343997,54.85720062,137646399.160249,81906.5412669489
147,E38000177,NHS Surrey Downs CCG,518576,149970,-0.30285001,51.23659134,404202485.900933,141238.246028714
148,E38000178,NHS Surrey Heath CCG,490369,159578,-0.70433998,51.32812881,66763531.401231,53729.0096310232
150,E38000180,NHS Swale CCG,588811,163731,0.70950198,51.34130096,210031422.083839,153483.277593751
151,E38000181,NHS Swindon CCG,419127,186641,-1.72536004,51.57830811,260125147.676437,92982.9910399886
152,E38000182,NHS Tameside and Glossop CCG,401143,397526,-1.98424006,53.47447968,229052340.095803,80527.6563190813
153,E38000183,NHS Telford and Wrekin CCG,367035,313057,-2.48940992,52.71416855,290212925.489594,103807.599659583
154,E38000184,NHS Thanet CCG,631844,166753,1.32829797,51.35253143,103658030.449426,49930.3365108012
155,E38000185,NHS Thurrock CCG,562126,181586,0.33490199,51.5099411,162244493.51814,82187.2383283601
156,E38000186,NHS Tower Hamlets CCG,536346,181449,-0.03639,51.51551056,19879156.2002799,24769.6596856544
157,E38000187,NHS Trafford CCG,375794,391163,-2.36565995,53.41672134,106238074.105175,53147.7891742496
158,E38000188,NHS Vale of York CCG,466812,449623,-0.98374999,53.93843079,2221600138.33816,455430.780438351
159,E38000189,NHS Vale Royal CCG,364416,373212,-2.53481007,53.25473022,248384789.140695,115177.972343278
160,E38000190,NHS Wakefield CCG,438366,418237,-1.42092001,53.65922928,338739549.552036,96542.912838346
161,E38000191,NHS Walsall CCG,402098,300804,-1.97044003,52.60503006,104254997.180428,52953.0320220037
162,E38000192,NHS Waltham Forest CCG,537327,190280,-0.01881,51.5946312,38705846.9041514,30110.3512643426
163,E38000193,NHS Wandsworth CCG,525147,174137,-0.20028,51.45238876,34269973.5181446,35401.9271635376
164,E38000194,NHS Warrington CCG,362744,388456,-2.56167006,53.39162827,180786266.268428,88817.8021984875
165,E38000195,NHS Warwickshire North CCG,427532,297164,-1.59519005,52.57162094,362585153.678117,107926.208805287
166,E38000196,NHS West Cheshire CCG,346835,361283,-2.79631996,53.14603043,667368598.915561,217296.102269108
167,E38000197,NHS West Essex CCG,555274,223275,0.25479001,51.8864212,1009396190.69773,208914.048486779
168,E38000198,NHS West Hampshire CCG,439086,138143,-1.44265997,51.14122009,2247225681.97312,458181.987579048
169,E38000199,NHS West Kent CCG,565235,145953,0.36313099,51.18891144,1238585081.43388,216091.896861428
